,file number,district code,district name,neighborhood code,neighborhood name,street code,street name,postal no.,i describe the day of the week,nk  year,month/year,month name,day month,shift description,time of day,i describe a pedestrian cause,desc type of vehicle involved,description of sex,how old are you?,description of the type of person,i describe the place of the road run over,descriptio reason for commuting,i describe the reason for the displacement of the driver,victimization description,utm x ed50 coordinate,utm and ed50 coordinate,length wgs84,wgs84 latitude
10,2021S001455    ,1,Ciutat Vella,3,la Barceloneta,197903,Marítim de la Barceloneta,0011 0013,Dimecres,2021,3,Març,17,Tarda,20,No és causa del  vianant,Bicicleta,Dona,53,Vianant,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Rebutja assistència sanitària,432643.78,4581595.91,2.193326856,41.381221296
11,2021S006698    ,1,Ciutat Vella,3,la Barceloneta,197903,Marítim de la Barceloneta,0037 0037,Diumenge,2021,11,Novembre,21,Matí,11,No és causa del  vianant,Veh. mobilitat personal amb motor,Dona,62,Vianant,A la vorera / Andana                                                                                                                                  ,Oci i entreteniment,Desconegut,Ferit lleu: Amb assistència sanitària en lloc d'accident,432854.54,4582008.83,2.195801425,41.384957996
12,2021S004585    ,1,Ciutat Vella,3,la Barceloneta,700813,Doctor Aiguader,0002 0004,Dimarts,2021,8,Agost,17,Tarda,19,No és causa del  vianant,Bicicleta,Dona,80,Vianant,A la vorera / Andana                                                                                                                                  ,Oci i entreteniment,Desconegut,Ferit lleu: Hospitalització fins a 24h,432117.27,4581710.08,2.187017852,41.382205321
13,2021S005179    ,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",33101,Basses de Sant Pere,0013 0013,Divendres,2021,9,Setembre,17,Tarda,14,No és causa del  vianant,Veh. mobilitat personal amb motor,Dona,54,Vianant,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Amb assistència sanitària en lloc d'accident,431497.59,4582474.81,2.179520868,41.389040479
14,2021S003090    ,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",269006,Portal Nou,0040 0040,Dimarts,2021,6,Juny,8,Nit,22,No és causa del  vianant,Veh. mobilitat personal amb motor,Dona,60,Vianant,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,431613.38,4582486.88,2.180904328,41.389159048
15,2021S006409    ,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",359109,Lluís Companys,0018 0022,Dimarts,2021,11,Novembre,9,Tarda,20,Altres,Bicicleta,Dona,25,Vianant,A la vorera / Andana                                                                                                                                  ,Es desconeix,Desconegut,Ferit lleu: Hospitalització fins a 24h,431650.12,4582718.99,2.181317525,41.391252723
16,2021S005721    ,2,Eixample,5,el Fort Pienc,197302,Marina,0139 0139,Dimecres,2021,10,Octubre,13,Matí,8,No és causa del  vianant,Veh. mobilitat personal amb motor,Home,28,Vianant,A la vorera / Andana                                                                                                                                  ,In itinere,Desconegut,Ferit lleu: Hospitalització fins a 24h,431808.83,4583393.11,2.183139777,41.39733781
17,2021S005721    ,2,Eixample,5,el Fort Pienc,197302,Marina,0139 0139,Dimecres,2021,10,Octubre,13,Matí,8,No és causa del  vianant,Veh. mobilitat personal amb motor,Dona,51,Conductor,A la vorera / Andana                                                                                                                                  ,Desconegut,In itínere,Ferit lleu: Hospitalització fins a 24h,431808.83,4583393.11,2.183139777,41.39733781
18,2021S001137    ,2,Eixample,5,el Fort Pienc,197302,Marina,0160 0160,Divendres,2021,3,Març,5,Tarda,18,Altres,Veh. mobilitat personal amb motor,Dona,56,Vianant,A la vorera / Andana                                                                                                                                  ,In itinere,Desconegut,Ferit lleu: Hospitalització fins a 24h,431788.3,4583491.83,2.182883083,41.398225211
19,2021S004511    ,2,Eixample,6,la Sagrada Família,161407,Indústria,0137 0141,Dijous,2021,8,Agost,12,Tarda,19,No és causa del  vianant,Turisme,Home,22,Vianant,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,431018.07,4584698.93,2.173532366,41.409031431
20,2021S007277    ,2,Eixample,7,la Dreta de l'Eixample,74404,Catalunya,0005 0005,Dimarts,2021,12,Desembre,14,Tarda,18,No és causa del  vianant,Veh. mobilitat personal amb motor,Dona,25,Vianant,A la vorera / Andana                                                                                                                                  ,In itinere,Desconegut,Ferit lleu: Hospitalització fins a 24h,430597.29,4582227.14,2.168781883,41.38673257
21,2021S003834    ,2,Eixample,7,la Dreta de l'Eixample,144601,Diagonal,0361B0361B,Divendres,2021,7,Juliol,9,Tarda,18,No és causa del  vianant,Veh. mobilitat personal amb motor,Home,63,Vianant,A la vorera / Andana                                                                                                                                  ,Es desconeix,Desconegut,Ferit lleu: Hospitalització fins a 24h,430142.33,4583396.68,2.1632059,41.397226834
22,2021S007258    ,2,Eixample,7,la Dreta de l'Eixample,144601,Diagonal,0400 0400,Dimarts,2021,12,Desembre,14,Matí,11,No és causa del  vianant,Veh. mobilitat personal amb motor,Home,56,Vianant,A la vorera / Andana                                                                                                                                  ,In itinere,Desconegut,Ferit lleu: Hospitalització fins a 24h,430368.98,4583521.24,2.165902583,41.398368374
23,2021S003906    ,2,Eixample,7,la Dreta de l'Eixample,145003,Girona,0005 0005,Dimarts,2021,7,Juliol,13,Tarda,17,No és causa del  vianant,Bicicleta,Home,35,Vianant,A la vorera / Andana                                                                                                                                  ,In itinere,Desconegut,Ferit lleu: Hospitalització fins a 24h,431222.36,4582677.87,2.176206108,41.390845881
24,2021S004799    ,2,Eixample,7,la Dreta de l'Eixample,148307,Gràcia,0001 0001,Dimarts,2021,8,Agost,31,Tarda,19,No és causa del  vianant,Bicicleta,Home,52,Vianant,A la vorera / Andana                                                                                                                                  ,Oci i entreteniment,Desconegut,Ferit lleu: Hospitalització fins a 24h,430654.29,4582375.88,2.16944653,41.388077144
25,2021S005981    ,2,Eixample,7,la Dreta de l'Eixample,148307,Gràcia,0048 0048,Dijous,2021,10,Octubre,21,Matí,9,No és causa del  vianant,Turisme,Home,40,Vianant,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,430349.03,4582803.95,2.1657465,41.391906247
26,2021S006099    ,2,Eixample,7,la Dreta de l'Eixample,148307,Gràcia,0093 0093,Dijous,2021,10,Octubre,28,Matí,11,No és causa del  vianant,Bicicleta,Home,73,Vianant,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,429946.75,4583150.11,2.160895063,41.394989037
27,2021S004457    ,2,Eixample,7,la Dreta de l'Eixample,349309,Universitat,0014 0014,Dilluns,2021,8,Agost,9,Tarda,14,No és causa del  vianant,Ciclomotor,Dona,17,Vianant,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Amb assistència sanitària en lloc d'accident,430450.08,4582219.88,2.167022185,41.38665446
28,2021S006946    ,2,Eixample,7,la Dreta de l'Eixample,349309,Universitat,0024 0024,Dimecres,2021,12,Desembre,1,Matí,10,No és causa del  vianant,Motocicleta,Dona,78,Vianant,A la vorera / Andana                                                                                                                                  ,Es desconeix,Desconegut,Ferit lleu: Hospitalització fins a 24h,430544.08,4582265.76,2.168141097,41.387075813
29,2021S003394    ,2,Eixample,7,la Dreta de l'Eixample,349309,Universitat,0024 0024,Diumenge,2021,6,Juny,20,Tarda,19,No és causa del  vianant,Bicicleta,Dona,24,Vianant,A la vorera / Andana                                                                                                                                  ,In itinere,Desconegut,Ferit lleu: Amb assistència sanitària en lloc d'accident,430544.08,4582265.76,2.168141097,41.387075813
30,2021S005403    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,18505,Aragó,0185 0185,Dimecres,2021,9,Setembre,29,Matí,9,No és causa del  vianant,Turisme,Home,30,Vianant,A la vorera / Andana                                                                                                                                  ,Altres activitats,Desconegut,Ferit lleu: Amb assistència sanitària en lloc d'accident,429742.65,4582333.21,2.158548672,41.387613677
31,2021S005403    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,18505,Aragó,0185 0185,Dimecres,2021,9,Setembre,29,Matí,9,No és causa del  vianant,Turisme,Home,71,Conductor,A la vorera / Andana                                                                                                                                  ,Desconegut,Oci i entreteniment,Ferit lleu: Amb assistència sanitària en lloc d'accident,429742.65,4582333.21,2.158548672,41.387613677
32,2021S007583    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,55807,Francesc Macià,0010 0011,Dilluns,2021,12,Desembre,27,Matí,13,No és causa del  vianant,Altres vehicles amb motor,Home,40,Vianant,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,428631.84,4582893.65,2.145197946,41.392563516
33,2021S001042    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,70607,Casanova,0130 0132,Diumenge,2021,2,Febrer,28,Matí,12,No és causa del  vianant,Veh. mobilitat personal amb motor,Home,86,Vianant,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,429447.23,4582425.97,2.155004801,41.388423264
34,2021S000014    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,169409,Corts Catalanes,0585 0585,Dissabte,2021,1,Gener,2,Tarda,14,No és causa del  vianant,Turisme,Home,60,Vianant,A la vorera / Andana                                                                                                                                  ,Es desconeix,Desconegut,Ferit lleu: Hospitalització fins a 24h,430197.26,4582210.36,2.163999731,41.386546805
35,2021S006145    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,245802,París,0120 0120,Divendres,2021,10,Octubre,29,Tarda,18,No és causa del  vianant,Turisme,Dona,97,Vianant,A la vorera / Andana                                                                                                                                  ,Es desconeix,Desconegut,Ferit lleu: Hospitalització fins a 24h,428927.33,4582620.33,2.148764195,41.390128001
36,2021S005428    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,349706,Comte d'Urgell,0224 0226,Dijous,2021,9,Setembre,30,Matí,11,No és causa del  vianant,Tot terreny,Dona,28,Vianant,A la vorera / Andana                                                                                                                                  ,In itinere,Desconegut,Ferit greu: hospitalització superior a 24h,428975.98,4582528.19,2.149356854,41.389302429
37,2021S005428    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,349706,Comte d'Urgell,0224 0226,Dijous,2021,9,Setembre,30,Matí,11,No és causa del  vianant,Tot terreny,Home,30,Vianant,A la vorera / Andana                                                                                                                                  ,In itinere,Desconegut,Ferit greu: hospitalització superior a 24h,428975.98,4582528.19,2.149356854,41.389302429
38,2021S003052    ,2,Eixample,9,la Nova Esquerra de l'Eixample,289105,Rosselló,0052 0054,Dilluns,2021,6,Juny,7,Tarda,18,No és causa del  vianant,Veh. mobilitat personal amb motor,Dona,44,Vianant,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Amb assistència sanitària en lloc d'accident,428831.13,4582151.02,2.14766882,41.385892582
39,2021S004164    ,2,Eixample,10,Sant Antoni,87009,Comte Borrell,0044 0046,Divendres,2021,7,Juliol,23,Tarda,19,No és causa del  vianant,Motocicleta,Home,24,Conductor,A la vorera / Andana                                                                                                                                  ,Desconegut,Altres activitats,Ferit lleu: Hospitalització fins a 24h,430085.26,4581195.21,2.162777482,41.377393932
40,2021S004164    ,2,Eixample,10,Sant Antoni,87009,Comte Borrell,0044 0046,Divendres,2021,7,Juliol,23,Tarda,19,No és causa del  vianant,Motocicleta,Dona,43,Vianant,A la vorera / Andana                                                                                                                                  ,Altres activitats,Desconegut,Ferit lleu: Hospitalització fins a 24h,430085.26,4581195.21,2.162777482,41.377393932
41,2021S004164    ,2,Eixample,10,Sant Antoni,87009,Comte Borrell,0044 0046,Divendres,2021,7,Juliol,23,Tarda,19,No és causa del  vianant,Motocicleta,Home,36,Passatger,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,430085.26,4581195.21,2.162777482,41.377393932
42,2021S003337    ,2,Eixample,10,Sant Antoni,169409,Corts Catalanes,0380 0380,Divendres,2021,6,Juny,18,Tarda,16,No és causa del  vianant,Veh. mobilitat personal amb motor,Home,57,Vianant,A la vorera / Andana                                                                                                                                  ,In itinere,Desconegut,Ferit lleu: Hospitalització fins a 24h,429046.52,4581010.9,2.150378258,41.375642941
43,2021S003053    ,2,Eixample,10,Sant Antoni,329902,Tamarit,0145B0145B,Dilluns,2021,6,Juny,7,Tarda,17,No és causa del  vianant,Turisme,Dona,75,Vianant,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Amb assistència sanitària en lloc d'accident,429842.84,4581266.54,2.159870461,41.378015268
44,2021S001194    ,2,Eixample,10,Sant Antoni,361406,Viladomat,0003 0007,Dimarts,2021,3,Març,9,Tarda,18,No és causa del  vianant,Turisme,Home,84,Vianant,A la vorera / Andana                                                                                                                                  ,Oci i entreteniment,Desconegut,Ferit lleu: Hospitalització fins a 24h,430073.11,4580985.01,2.162656461,41.375499667
45,2021S007015    ,3,Sants-Montjuïc,11,el Poble-sec,114000,Espanya,9999 9999,Divendres,2021,12,Desembre,3,Matí,13,No és causa del  vianant,Bicicleta,Dona,69,Vianant,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,428940.71,4580909.36,2.149124972,41.374719063
46,2021S002854    ,3,Sants-Montjuïc,15,Hostafrancs,37601,Béjar,0015 0015,Diumenge,2021,5,Maig,30,Matí,10,No és causa del  vianant,Furgoneta,Home,56,Vianant,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,428694.71,4581042.88,2.14616782,41.375899861
47,2021S005190    ,3,Sants-Montjuïc,16,la Bordeta,30602,Badal,0046 0050,Dissabte,2021,9,Setembre,18,Tarda,20,No és causa del  vianant,Veh. mobilitat personal amb motor,Home,20,Vianant,A la vorera / Andana                                                                                                                                  ,Altres activitats,Desconegut,Ferit lleu: Amb assistència sanitària en lloc d'accident,427662.26,4580142.62,2.13393003,41.367699349
48,2021S005190    ,3,Sants-Montjuïc,16,la Bordeta,30602,Badal,0046 0050,Dissabte,2021,9,Setembre,18,Tarda,20,No és causa del  vianant,Veh. mobilitat personal amb motor,Dona,19,Conductor,A la vorera / Andana                                                                                                                                  ,Desconegut,Oci i entreteniment,Ferit lleu: Hospitalització fins a 24h,427662.26,4580142.62,2.13393003,41.367699349
49,2021S004967    ,3,Sants-Montjuïc,17,Sants - Badal,68401,Carreras i Candi,0072 0074,Dimecres,2021,9,Setembre,8,Tarda,14,No és causa del  vianant,Taxi,Dona,85,Passatger,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Rebutja assistència sanitària,427183.84,4580682.5,2.128145301,41.372518689
50,2021S003084    ,3,Sants-Montjuïc,17,Sants - Badal,68401,Carreras i Candi,0088 0094,Dimarts,2021,6,Juny,8,Tarda,15,Altres,Veh. mobilitat personal amb motor,Home,43,Vianant,A la vorera / Andana                                                                                                                                  ,In itinere,Desconegut,Ferit lleu: Hospitalització fins a 24h,427270.53,4580556.76,2.129196911,41.371394039
51,2021S000816    ,3,Sants-Montjuïc,17,Sants - Badal,187207,Madrid,0112 0112,Dimarts,2021,2,Febrer,16,Tarda,15,No és causa del  vianant,Veh. mobilitat personal amb motor,Dona,46,Vianant,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,427209.96,4581379.58,2.128373855,41.378799388
52,2021S005618    ,3,Sants-Montjuïc,17,Sants - Badal,312400,Sants,0358 0358,Dijous,2021,10,Octubre,7,Tarda,20,No és causa del  vianant,Altres vehicles amb motor,Home,76,Vianant,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,426791.0,4581046.24,2.123404323,41.375759097
53,2021S006853    ,3,Sants-Montjuïc,18,Sants,231502,Numància,0046 0046,Dissabte,2021,11,Novembre,27,Tarda,20,No és causa del  vianant,Veh. mobilitat personal amb motor,Home,71,Vianant,A la vorera / Andana                                                                                                                                  ,Oci i entreteniment,Desconegut,Ferit lleu: Amb assistència sanitària en lloc d'accident,428138.25,4581846.7,2.139418717,41.383090053
54,2021S002918    ,3,Sants-Montjuïc,18,Sants,365000,Violant Hongria Reina Aragó,0169 0169,Dimecres,2021,6,Juny,2,Matí,7,No és causa del  vianant,Bicicleta,Dona,24,Vianant,A la vorera / Andana                                                                                                                                  ,In itinere,Desconegut,Ferit lleu: Hospitalització fins a 24h,427838.64,4581608.84,2.135864152,41.380920904
55,2021S004304    ,4,Les Corts,19,les Corts,66508,Carles III,0082 0084,Divendres,2021,7,Juliol,30,Tarda,20,No és causa del  vianant,Bicicleta,Dona,65,Vianant,A la vorera / Andana                                                                                                                                  ,Oci i entreteniment,Desconegut,Ferit lleu: Hospitalització fins a 24h,427143.55,4582176.3,2.127483896,41.385969118
56,2021S000187    ,4,Les Corts,19,les Corts,88001,Comtes de Bell-lloc,0131 0133,Dimecres,2021,1,Gener,13,Tarda,14,No és causa del  vianant,Veh. mobilitat personal amb motor,Home,6,Vianant,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,427845.63,4581775.72,2.135927858,41.382424558
57,2021S000187    ,4,Les Corts,19,les Corts,88001,Comtes de Bell-lloc,0131 0133,Dimecres,2021,1,Gener,13,Tarda,14,No és causa del  vianant,Veh. mobilitat personal amb motor,Dona,17,Conductor,A la vorera / Andana                                                                                                                                  ,Desconegut,En missió,Ferit lleu: Hospitalització fins a 24h,427845.63,4581775.72,2.135927858,41.382424558
58,2021S003089    ,4,Les Corts,20,la Maternitat i Sant Ramon,144601,Diagonal,0641 0641,Dimarts,2021,6,Juny,8,Tarda,16,No és causa del  vianant,Veh. mobilitat personal amb motor,Dona,39,Conductor,A la vorera / Andana                                                                                                                                  ,Desconegut,Es desconeix,Ferit lleu: Hospitalització fins a 24h,426590.9,4582222.46,2.120869132,41.386334594
59,2021S005000    ,4,Les Corts,21,Pedralbes,144601,Diagonal,0694 0696,Dissabte,2021,9,Setembre,11,Tarda,17,No és causa del  vianant,Turisme,Dona,41,Conductor,A la vorera / Andana                                                                                                                                  ,Desconegut,Altres activitats,Ferit lleu: Amb assistència sanitària en lloc d'accident,425818.02,4582082.48,2.111643341,41.385002917
60,2021S005599    ,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,38706,Benedetti,0002 0002,Dijous,2021,10,Octubre,7,Matí,8,No és causa del  vianant,Veh. mobilitat personal amb motor,Dona,58,Vianant,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,426833.74,4584660.71,2.123478496,41.408317009
61,2021S006772    ,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,143904,General Mitre,0105 0105,Dimecres,2021,11,Novembre,24,Tarda,14,No és causa del  vianant,Veh. mobilitat personal amb motor,Dona,91,Vianant,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,427830.21,4583818.38,2.13549993,41.40082062
62,2021S003796    ,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,167301,Jesús i Maria,0031 0031,Dijous,2021,7,Juliol,8,Tarda,16,No és causa del  vianant,Autobús,Home,42,Conductor,A la vorera / Andana                                                                                                                                  ,Desconegut,Bus urbà,Mort (dins 24h posteriors accident),427402.65,4584990.91,2.130244823,41.411342588
63,2021S000658    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,196900,Marià Cubí,0001 0001,Dilluns,2021,2,Febrer,8,Tarda,20,No és causa del  vianant,Motocicleta,Dona,34,Vianant,A la vorera / Andana                                                                                                                                  ,Oci i entreteniment,Desconegut,Ferit lleu: Hospitalització fins a 24h,429198.83,4583661.85,2.15188947,41.39953256
64,2021S001427    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,196900,Marià Cubí,0010 0022,Divendres,2021,3,Març,19,Tarda,21,No és causa del  vianant,Veh. mobilitat personal amb motor,Dona,65,Vianant,A la vorera / Andana                                                                                                                                  ,Oci i entreteniment,Desconegut,Ferit lleu: Hospitalització fins a 24h,429122.39,4583614.97,2.150980615,41.399103591
65,2021S006978    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,223606,Muntaner,0227 0229,Dijous,2021,12,Desembre,2,Tarda,15,No és causa del  vianant,Veh. mobilitat personal amb motor,Dona,25,Vianant,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,428957.17,4583083.45,2.149066725,41.394301795
66,2021S001524    ,6,Gràcia,30,la Salut,320205,Santuari St Josep Muntanya,0008 0014,Dimecres,2021,3,Març,24,Tarda,18,No és causa del  vianant,Turisme,Home,78,Vianant,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,429405.55,4584884.17,2.154219534,41.410559736
67,2021S003587    ,6,Gràcia,30,la Salut,344000,Dalt,0079 0079,Dimarts,2021,6,Juny,29,Tarda,16,No és causa del  vianant,Motocicleta,Home,46,Vianant,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,429565.33,4584872.6,2.156132436,41.410469555
68,2021S003587    ,6,Gràcia,30,la Salut,344000,Dalt,0079 0079,Dimarts,2021,6,Juny,29,Tarda,16,No és causa del  vianant,Motocicleta,Home,48,Conductor,A la vorera / Andana                                                                                                                                  ,Desconegut,Es desconeix,Ferit lleu: Hospitalització fins a 24h,429565.33,4584872.6,2.156132436,41.410469555
69,2021S002317    ,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,305100,Sant Joan,0149 0149,Dimarts,2021,5,Maig,4,Nit,23,No és causa del  vianant,Motocicleta,Dona,31,Passatger,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,430374.66,4583905.65,2.16592629,41.40183112
70,2021S002317    ,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,305100,Sant Joan,0149 0149,Dimarts,2021,5,Maig,4,Nit,23,No és causa del  vianant,Motocicleta,Home,30,Conductor,A la vorera / Andana                                                                                                                                  ,Desconegut,Oci i entreteniment,Ferit lleu: Hospitalització fins a 24h,430374.66,4583905.65,2.16592629,41.40183112
71,2021S007047    ,7,Horta-Guinardó,35,el Guinardó,194406,Maragall,0123 0127,Dissabte,2021,12,Desembre,4,Matí,11,No és causa del  vianant,Bicicleta,Dona,58,Vianant,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,431606.69,4585970.57,2.180430445,41.420535013
72,2021S005444    ,7,Horta-Guinardó,35,el Guinardó,194406,Maragall,0177 0177,Dijous,2021,9,Setembre,30,Tarda,17,No és causa del  vianant,Veh. mobilitat personal amb motor,Home,28,Vianant,A la vorera / Andana                                                                                                                                  ,In itinere,Desconegut,Ferit lleu: Hospitalització fins a 24h,431427.92,4586234.82,2.178261381,41.422899778
73,2021S005444    ,7,Horta-Guinardó,35,el Guinardó,194406,Maragall,0177 0177,Dijous,2021,9,Setembre,30,Tarda,17,No és causa del  vianant,Veh. mobilitat personal amb motor,Dona,20,Conductor,A la vorera / Andana                                                                                                                                  ,Desconegut,In itínere,Ferit lleu: Hospitalització fins a 24h,431427.92,4586234.82,2.178261381,41.422899778
74,2021S002834    ,7,Horta-Guinardó,35,el Guinardó,325402,Segle XX,0026 0028,Divendres,2021,5,Maig,28,Matí,12,No és causa del  vianant,Motocicleta,Dona,73,Vianant,A la vorera / Andana                                                                                                                                  ,Desconegut,Desconegut,Ferit lleu: Hospitalització fins a 24h,431329.38,4586247.91,2.177080765,41.423009254
